statement,label_1,label_2,label_3,token_1,token_2,token_3
"Generali Group operates in the industry of Consumer Durables. Fubon Financial engages in the provision of chemical products.. AXA engages in the provision of management consulting, technology, and outsourcing services..",0,0,0,11,23,39
"Microsoft engages in the development and support of software, services, devices, and solutions.. Santander has headquarters in Spain. China Vanke operates in the industry of construction.",1,1,1,16,23,33
The Home Depot engages in the provision of banking and financial services.. Amazon.com has headquarters in Spain. Sony has headquarters in United States.,0,0,0,12,20,27
Medtronic operates in the industry of health care equipment & services. Truist Financial British American Tobacco Acts as a financing subsidiary/special purpose entity.. Deutsche Post operates in the industry of Oil & Gas Operations.,1,0,0,13,29,41
HCA Healthcare has headquarters in United States. Accenture has headquarters in Ireland. Santander operates in the industry of Insurance.,1,1,0,8,15,24
"Walt Disney is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services.. GlaxoSmithKline is a holding company that engages in the provision of financial products and services.. Taiwan Semiconductor Manufacturing Company engages in the manufacture and sale of integrated circuits and wafer semiconductor devices..",0,0,1,26,26,69
Tencent Holdings operates in the industry of Banking. BASF engages in the provision of chemical products.. Mitsubishi UFJ Financial Group operates in the industry of banking.,0,1,1,9,19,34
China Telecom has headquarters in China. Industrial and Commercial Bank of China engages in the provision of services utilizing the function of general trading.. Sanofi has headquarters in France.,1,0,1,6,25,32
"Deutsche Telekom engages in the provision of analytical instruments, equipment, reagents and consumables, software and services for research, analysis, discovery and diagnostics.. General Motors operates in the industry of consumer durables. National Australia Bank engages in the provision of international commercial banking and financial services..",0,1,0,33,44,59
Goldman Sachs Group operates in the industry of diversified financials. ConocoPhillips has headquarters in Taiwan. KDDI engages in the telecommunications business..,1,0,1,13,22,31
Itochu operates in the industry of Diversified Financials. Tencent Holdings has headquarters in China. ANZ operates in the industry of Retailing.,0,1,0,13,21,31
"China Life Insurance engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and telecommunications.. ING Group has headquarters in Netherlands. China Construction Bank has headquarters in United States.",0,1,0,24,32,41
"Capital One engages in the provision of aerospace and defense systems and services for commercial, military and government customers.. Poly Developments & Holdings Group has headquarters in China. BP has headquarters in China.",0,1,0,20,31,31
Brookfield Asset Management operates in the industry of Diversified Financials. JPMorgan Chase operates in the industry of diversified financials. Raytheon Technologies operates in the industry of aerospace & defense.,0,1,1,14,14,39
China Construction Bank is a holding company that engages in the management of its subsidiaries that provide financial services.. Tencent Holdings has headquarters in France. Zurich Insurance has headquarters in Switzerland.,0,0,1,19,27,34
PetroChina operates in the industry of Utilities. Procter & Gamble has headquarters in Japan. HSBC Holdings has headquarters in Germany.,0,0,0,9,19,26
MetLife operates in the industry of Banking. Industrial and Commercial Bank of China operates in the industry of Trading Companies. Zurich Insurance operates in the industry of insurance.,0,0,1,8,22,31
"AIA Group is an investment holding company, which engages in the provision of life insurance.. Honeywell is the world's largest home improvement specialty retailer.. HCA Healthcare operates in the industry of Retailing.",1,0,0,17,29,40
"U.S. Bancorp operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.. HDFC Bank operates in the industry of banking. Vale operates in the industry of Retailing.",1,1,0,27,45,54
"Reliance Industries is a holding company that engages in the generation, distribution, trading and marketing of electricity.. Enbridge has headquarters in United States. Duke Energy has headquarters in United States.",0,0,1,20,28,28
China Merchants Bank engages in the provision of corporate and personal banking services.. Duke Energy engages in distribution of natural gas and energy related services.. China Mobile has headquarters in Japan.,1,1,0,13,13,33
"Siemens is a U.S. subsidiary of Siemens AG, a global powerhouse focusing on the areas of power generation and distribution, intelligent infrastructure for buildings and distributed energy systems, and automation and digitalization in the process and manufacturing industries.. HDFC Bank operates in the industry of Banking. Hon Hai Precision has headquarters in Taiwan.",1,0,1,48,58,66
"United Parcel Service operates in the industry of transportation. JPMorgan Chase is an investment holding company, which engages in the provision of life insurance.. Generali Group has headquarters in Taiwan.",1,0,0,10,27,35
"VINCI operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.. Volkswagen Group operates as an integrated oil and gas company.. Industrial and Commercial Bank of China has headquarters in China.",0,0,1,23,42,49
BHP Group operates in the industry of materials. China Life Insurance has headquarters in Canada. Mitsubishi UFJ Financial Group operates in the industry of Insurance.,1,0,0,9,17,32
Bayerische Motoren Werke (BMW) operates in the industry of consumer durables. Johnson & Johnson operates in the industry of drugs & biotechnology. Bristol Myers Squibb has headquarters in United States.,1,1,1,19,32,43
Thermo Fisher Scientific operates in the industry of healthcare equipment & services. RBC has headquarters in Canada. BP operates in the industry of Telecommunications Services.,1,1,0,13,20,29
"Lloyds Banking Group is a financial services company, which engages in the provision of a wide range of banking and financial services.. CITIC operates in the industry of trading companies. Lockheed Martin operates in the industry of Banking.",1,1,0,10,37,46
U.S. Bancorp has headquarters in Switzerland. Alphabet operates in the industry of it software & services. Costco Wholesale engages in the operation of membership warehouses..,0,1,1,11,22,34
"Fubon Financial has headquarters in Taiwan. Shell operates in the industry of oil & gas operations. Moller - Maersk is a medical technology company, which engages in the development, manufacture, distribution, and sale of device-based medical therapies and services..",1,1,0,8,19,52
Credit Agricole has headquarters in United States. Intesa Sanpaolo operates in the industry of banking. Itau Unibanco Holding operates in the industry of banking.,0,1,1,8,20,20
Sony operates in the industry of consumer durables. China Telecom has headquarters in United States. ArcelorMittal has headquarters in China.,1,0,0,9,17,27
Samsung Group has headquarters in Hong Kong. Johnson & Johnson operates in the industry of Technology Hardware & Equipment. Tesla has headquarters in Ireland.,0,0,0,7,20,26
Cathay Financial has headquarters in United States. ArcelorMittal operates in the industry of Consumer Durables. HSBC Holdings has headquarters in United Kingdom.,0,0,1,8,22,30
"Itochu engages in business of product trading and business investment activities.. Public Joint Stock Company Gazprom has headquarters in Russia. Verizon Communications is a holding company that engages in the provision of communications, information and entertainment products and services to consumers, businesses and governmental agencies..",1,1,1,13,24,52
"Itochu has headquarters in Japan. Cisco Systems has headquarters in United States. Chevron engages in the provision of administrative, financial management and technology support for energy and chemical operations..",1,1,1,7,15,34
"ConocoPhillips operates in the industry of oil & gas operations. PNC Financial Services is a holding company, which engages in the provision of financial services.. Westpac Banking has headquarters in Germany.",1,1,0,13,31,39
"Hon Hai Precision engages in the design, development and manufacturing of nanotechnology, heat transfer, wireless connectivity and material sciences products.. LVMH Moet Hennessy Louis Vuitton has headquarters in France. CVS Health operates in the industry of Insurance.",1,1,0,24,40,50
"Taiwan Semiconductor Manufacturing Company operates in the industry of semiconductors. Walmart operates in the industry of Technology Hardware & Equipment. Anthem is an information technology company, which provides integrated solutions that leverage information technology and knowledge of business processes..",1,0,0,15,26,47
Anglo American has headquarters in United Kingdom. Oracle operates in the industry of it software & services. Tokio Marine Holdings engages in the management of its group companies which are in the insurance business..,1,1,1,8,19,38
Honeywell operates in the industry of conglomerates. Roche Holding has headquarters in Hong Kong. Rio Tinto has headquarters in Australia.,1,0,1,10,18,26
Anglo American operates in the industry of materials. PetroChina operates in the industry of oil & gas operations. Bank of Nova Scotia operates in the industry of Oil & Gas Operations.,1,1,0,9,21,35
"Goldman Sachs Group has headquarters in Germany. UnitedHealth Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.. UnitedHealth Group has headquarters in United States.",0,0,1,8,34,43
"Fubon Financial engages in the provision of financial services.. Deere & Company engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.. BlackRock has headquarters in Italy.",1,0,0,11,41,48
Anheuser-Busch InBev has headquarters in United States. Itau Unibanco Holding has headquarters in Brazil. Stellantis engages in the provision of services utilizing the function of general trading..,0,1,0,14,25,41
"AT&T operates in the industry of Telecommunications Services. Lowe's operates in the industry of retailing. Rio Tinto engages in the exploration, mining, and processing of mineral resources..",0,1,1,10,20,36
