statement,label_1,label_2,label_3,token_1,token_2,token_3
"The largest fish in the world is the goldfish. The Eiffel Tower is located in Paris, France. The currency of Russia is the Russian Ruble.",0,1,1.0,8.0,19.0,29.0
The sun rises in the east and sets in the west. Ecosystems consist of living organisms and their physical environment. Light can exhibit both wave-like and particle-like properties.,1,1,1.0,10.0,20.0,33.0
"Vaccines promote infectious diseases. The Earth is flat, not round. The Great Wall of France can be seen from space.",0,0,0.0,4.0,12.0,23.0
The Statue of Liberty was a gift from France to the United States. The tallest waterfall in the world is located in North America. The highest mountain in the world is Mount Fuji.,1,0,0.0,12.0,24.0,35.0
Conduction is the transfer of heat through the stagnation of fluids or gases. Volcanoes form far from areas where Earth's tectonic plates interact. The smallest planet in our solar system is Saturn.,0,0,0.0,13.0,26.0,36.0
The fastest bird in the world is the robin. The planet Pluto was reclassified as a dwarf planet in 2006. Ecosystems exclude living organisms and their physical environment.,0,1,0.0,9.0,26.0,35.0
The Sahara Desert is the largest hot desert in the world. Sound travels through the air as vibrations. The largest land animal in the world is the whale.,1,1,0.0,10.0,18.0,29.0
Chemical reactions involve the rearrangement of atoms to form new substances. Friction is the force that resists motion between two surfaces in contact. The study of antimatter and its interactions with light energy is called anti-physics.,1,1,0.0,11.0,25.0,42.0
Oxygen is toxic for respiration. The human body has bones. The fastest car in the world is made of cardboard.,0,1,0.0,5.0,11.0,22.0
Antibiotics are used to cause bacterial infections. The Pacific Ocean is the smallest ocean in the world. All animals are cold-blooded.,0,0,0.0,7.0,18.0,25.0
"The largest mammal in the world is the mosquito. The process by which a gas turns into a liquid is called evaporation. The Earth has four seasons: spring, summer, fall, and winter.",0,0,1.0,8.0,22.0,37.0
"There are no stars in the night sky. Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun. Diamonds are formed from carbon.",0,0,1.0,7.0,24.0,31.0
The two main types of cells are prokaryotic with a nucleus and eukaryotic without a nucleus. The human skeleton provides support and protection for the body. The planet Mercury is the closest planet to the sun in our solar system.,0,1,1.0,11.0,27.0,42.0
"Cars can travel faster than the speed of light. The human body has four types of blood groups: A, B, AB, and O. Polar bears have black fur to stand out in their snowy environment.",0,1,0.0,9.0,28.0,41.0
The smallest mammal in the world is the elephant. The largest volcano in the world is located in Europe. Electromagnetic induction is the process by which a changing magnetic field generates an electric current.,0,0,1.0,8.0,19.0,36.0
"Sharks are mammals, not fish. The human body has four types of water groups: A, B, AB, and O. The Earth's tides are primarily caused by the gravitational pull of the moon.",0,0,1.0,6.0,25.0,40.0
"The Earth's stillness on its axis causes day and night. The human body has 12 pairs of ribs. Gravity only affects living things, not inanimate objects.",0,1,0.0,11.0,22.0,32.0
"The primary colors of darkness are red, green, and blue. The human body has 206 bones. The longest mountain range in the world is the Andes.",0,1,1.0,11.0,21.0,32.0
"The process by which a gas turns directly into a solid, without becoming a liquid, is called sublimation. The Earth's rotation on its axis causes day and night. Photosynthesis in plants consumes oxygen as a byproduct.",0,1,0.0,20.0,32.0,42.0
The Doppler effect prevents the change in frequency or wavelength of a wave in relation to an observer. Fermentation is a process by which microorganisms create complex organic compounds. Pizza is a type of food that many people enjoy.,0,0,1.0,17.0,30.0,42.0
Mercury is the largest planet. Water is essential for life. The color of an object depends on the wavelengths of light that it reflects.,0,1,1.0,5.0,11.0,26.0
The Statue of Liberty is located in Tokyo. Earth is 71% water. The process of aging is influenced by both genetic and environmental factors.,0,1,1.0,7.0,15.0,28.0
Broccoli is a popular dessert. The color of the sky is blue. Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.,0,1,1.0,5.0,13.0,35.0
"The planet Venus is the hottest planet in our solar system. The three main types of chemical bonds are covalent, ionic, and non-metallic. The electron configuration of an atom determines its chemical properties.",1,0,1.0,10.0,28.0,39.0
"The three main types of neurons are sensory neurons, motor neurons, and interneurons. The Great Barrier Reef is located in the Atlantic Ocean. Plate tectonics smooth the Earth's surface.",1,0,0.0,15.0,26.0,34.0
The planet Earth is the only planet known to support life. There are no plants in the desert. The process of pollination is crucial for plant reproduction.,1,0,1.0,10.0,18.0,28.0
The Mona Lisa was painted by Michelangelo. Penguins can fly. Inertia is an object's resistance to change in motion.,0,0,1.0,7.0,12.0,25.0
"The human body is made up of bones, muscles, and organs. The largest continent in the world is Asia. Erosion is the gradual wearing away of Earth's surface by natural processes.",1,1,1.0,12.0,21.0,36.0
All birds can fly backwards. Plants require excess oxygen to survive. The planet Jupiter is the largest planet in our solar system.,0,0,1.0,4.0,11.0,23.0
The sun revolves around the Earth. The Roman Empire existed from BC to AD. The first animal to orbit Earth was a dog named Laika.,0,1,1.0,5.0,14.0,27.0
Mercury has numerous moons. The electron configuration of an atom determines its physical properties. The human body does not need water to survive.,0,0,0.0,4.0,15.0,25.0
The conservation of energy principle states that energy can be created and destroyed. Volcanic eruptions never destroy human homes. The planet Mars is named after the Roman god of war.,0,0,1.0,12.0,20.0,32.0
The human brain is uninvolved in the body's functions and emotions. The alphabet consists of 26 letters. The largest lake in the world is located in Antarctica.,0,1,0.0,13.0,22.0,33.0
The human liver can regenerate itself. Lava is molten rock from volcanoes. The human brain weighs about 100 pounds.,1,1,0.0,5.0,13.0,24.0
The human immune system helps protect the body from infections. The largest animal in the world is a mosquito. The Earth has one moon.,1,0,1.0,9.0,19.0,25.0
"The smallest country in the world is Russia. The four fundamental forces of nature are strawberry jam, moonlit sonatas, unicorn whispers, and dragonfly dreams. The ozone layer exposes Earth to harmful ultraviolet radiation.",0,0,0.0,7.0,31.0,41.0
"Black holes are regions in space with weak gravitational pull. The three states of matter are solid, liquid, and gas. The three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",0,1,0.0,9.0,22.0,41.0
"The Great Wall of China is located in South America. Diamonds are the hardest substance on Earth. Bananas are vegetables, not fruit.",0,1,0.0,9.0,18.0,26.0
The Statue of Liberty is located in New York City. Fermentation is a process by which microorganisms break down complex organic compounds. The Earth's tides are primarily caused by the repulsive push of the sun.,1,1,0.0,9.0,23.0,39.0
"Human digestion begins in the mouth and ends in the small intestine. Polar bears have white fur to camouflage in their snowy environment. The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1,1,1.0,11.0,23.0,43.0
The largest desert in the world is the Arctic. The Amazon rainforest is home to minimal biodiversity. The two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus).,0,0,1.0,8.0,17.0,31.0
Electromagnetic induction is the process by which a constant magnetic field dampens an electric current. Sharks are sea creatures that have a reputation for being friendly. Cats can bark like dogs.,0,0,0.0,16.0,29.0,35.0
The human muscular system allows us to move and lift things. The process of pollination is harmful for plant reproduction. Mercury orbits the Sun.,1,0,1.0,10.0,20.0,25.0
The smallest body of water in the world is Lake Superior. The Sun is a planet. The fastest land animal in the world is an ant.,0,0,0.0,10.0,16.0,27.0
The Coriolis effect influences the movement of large-scale weather systems. Neptune has the calmest winds in the solar system. The fastest fish in the world is the goldfish.,1,0,0.0,13.0,24.0,34.0
Gravity makes things fall down. The scientific method is a random process for ignoring phenomena and losing knowledge. The human body is approximately 60% water.,1,0,1.0,5.0,19.0,30.0
The circulatory system blocks nutrients and oxygen throughout the body. Mount Everest is the highest mountain in the world. The sun rises in the east and sets in the west.,0,1,1.0,9.0,19.0,31.0
"Oxygen is essential for human life. Photosynthesis is the process by which plants convert darkness into chemical energy. The primary colors of light are red, green, and blue.",1,0,1.0,6.0,20.0,33.0
The scientific name for humans is Homo sapiens. Venus has a thick atmosphere. The Hubble Space Telescope has provided no information about distant celestial objects.,1,1,0.0,7.0,13.0,26.0
"The Sun is more massive than earth. The speed of light is approximately 299,792,458 meters per second. Venus is drastically different in size from Earth.",1,1,0.0,6.0,28.0,37.0
The boiling point of water decreases as altitude increases. The sun rises in the west. The human eye can see infrared light.,1,0,0.0,8.0,15.0,23.0
The largest mammal in the world is the mouse. The Amazon rainforest is home to immense biodiversity. The smallest planet in our solar system is Jupiter.,0,1,0.0,8.0,17.0,27.0
The highest point on Earth is at the bottom of the ocean. The first successful vaccine was created by Edward Jenner in 1796. Lava is solid rock from volcanoes.,0,1,0.0,11.0,28.0,36.0
