statement,label_1,label_2,label_3,token_1,token_2,token_3
Meta Platforms operates as a social networking company worldwide.. Reliance Industries has headquarters in United States. Berkshire Hathaway operates in the industry of Construction.,1,0,0,8,17,30
MetLife operates in the industry of insurance. Taiwan Semiconductor Manufacturing Company has headquarters in United Kingdom. United Parcel Service operates in the industry of transportation.,1,0,1,7,19,31
Rosneft has headquarters in Russia. Credit Agricole operates in the industry of banking. CNOOC operates in the industry of oil & gas operations.,1,1,1,6,17,30
Airbus Group operates in the industry of Construction. ING Group engages in the provision of banking and financial services.. Banco Bradesco has headquarters in Brazil.,0,0,1,8,21,31
VINCI has headquarters in France. Munich Reinsurance engages in the provision of insurance and reinsurance services.. Lloyds Banking Group engages in the manufacture and sale of integrated circuits and wafer semiconductor devices..,1,1,0,6,21,41
Munich Reinsurance has headquarters in Germany. Lowe's has headquarters in Brazil. Verizon Communications operates in the industry of telecommunications services.,1,0,1,9,17,28
"American International Group operates in the industry of insurance. HSBC Holdings operates in the industry of banking. China Citic Bank is a commercial bank, which engages in the provision of corporate and personal banking services..",1,1,1,8,19,40
"PNC Financial Services operates in the industry of United States. America Movil has headquarters in Mexico. Samsung Group engages in the provision of banking and financial services, including commercial banking and treasury operations..",0,1,0,10,19,38
Westpac Banking has headquarters in Germany. Iberdrola operates in the industry of oil & Gas Operations. Industrial and Commercial Bank of China has headquarters in United States.,0,0,0,6,20,32
"Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.. Deutsche Post engages in the provision of corporate and personal banking services.. China State Construction Engineering is a holding company that engages in the provision of financial products and services..",1,0,0,22,36,36
"Vale operates in the industry of Retailing. Airbus Group operates in the industry of aerospace & defense. IBM engages in the design, development and manufacturing of nanotechnology, heat transfer, wireless connectivity and material sciences products..",0,1,0,8,20,42
UBS Group has headquarters in Canada. Deutsche Telekom operates in the industry of telecommunications services. SoftBank operates in the industry of telecommunications services.,0,1,1,6,19,19
Industrial Bank has headquarters in Australia. BBVA operates in the industry of banking. ANZ has headquarters in United States.,0,1,0,5,14,22
PetroChina operates in the industry of oil & gas operations. Mitsubishi operates in the industry of trading companies. Allianz operates in the industry of insurance.,1,1,1,11,22,32
Intesa Sanpaolo has headquarters in Hong Kong. Fubon Financial has headquarters in Brazil. Public Joint Stock Company Gazprom has headquarters in Russia.,0,0,1,10,18,29
