statement,label_1,label_2,label_3
Tin is used in solder and pewter. Ruthenium is used in catalytic converters and some electronic components. Zirconium appears in its standard state as Gas.,1,1,0
Praseodymium appears in its standard state as Solid. Potassium is essential for muscle and nerve function and is highly reactive with water. Cesium has the atomic number of 55.,1,1,1
"Strontium is in the Noble gas group. Manganese has the symbol Mn. Radon is a strong, lightweight metal used in aerospace and medical implants.",0,1,0
Antimony has the symbol Sb. Silver has the atomic number of 47. Cesium has the atomic number of 19.,1,1,0
Tantalum appears in its standard state as Solid. Fluorine has the symbol F. Scandium has the symbol Sc.,1,1,1
Neon is used in neon signs and produces a distinct reddish-orange glow. Copper has the atomic number of 29. Platinum has the atomic number of 23.,1,1,0
"Europium has the atomic number of 47. Germanium is used in coins, batteries, and corrosion-resistant alloys. Scandium appears in its standard state as Solid.",0,0,1
Bismuth is in the Transition metal group. Boron has the symbol In. Nickel appears in its standard state as Gas.,0,0,0
Titanium has the atomic number of 67. Actinium has the symbol Pa. Platinum is in the Metalloid group.,0,0,0
Lanthanum is in the Lanthanide group. Hafnium appears in its standard state as Solid. Lutetium appears in its standard state as Solid.,1,1,1
Nickel is in the Noble gas group. Osmium has the atomic number of 76. Argon has the atomic number of 63.,0,1,0
Promethium has the atomic number of 61. Lanthanum appears in its standard state as Solid. Tungsten has the atomic number of 5.,1,1,0
Terbium has the atomic number of 65. Europium is the densest naturally occurring element and is used in some alloys. Yttrium has the atomic number of 55.,1,0,0
Krypton is a noble gas used in some lighting applications and window insulation. Rubidium has the symbol Na. Krypton has the symbol Kr.,1,0,1
Chromium has the atomic number of 24. Gold has the symbol Au. Zirconium has the atomic number of 40.,1,1,1
Silicon has the symbol Si. Potassium has the symbol K. Neptunium is in the Nonmetal group.,1,1,0
Iron has the symbol Fe. Niobium appears in its standard state as Gas. Tantalum has the atomic number of 73.,1,0,1
Boron is used in the production of glass and ceramics. Protactinium has the atomic number of 91. Lutetium is in the Transition metal group.,1,1,0
Aluminum has the atomic number of 48. Boron is used in flame retardants and some semiconductors. Thallium is in the Noble gas group.,0,0,0
Dysprosium is in the Transition metal group. Argon has the symbol Ar. Protactinium has the atomic number of 82.,0,1,0
Tellurium is in the Lanthanide group. Thorium has the symbol Ti. Fluorine has the symbol Rn.,0,0,0
Neodymium appears in its standard state as Gas. Nitrogen has the symbol N. Zinc is in the Transition metal group.,0,1,1
Mercury appears in its standard state as Liquid. Phosphorus has the symbol Ag. Boron is in the Metalloid group.,1,0,1
Helium is used in lasers and medical imaging. Chlorine appears in its standard state as Gas. Promethium has the symbol C.,0,1,0
Actinium is in the Actinide group. Lithium appears in its standard state as Solid. Potassium is in the Alkali metal group.,1,1,1
Barium appears in its standard state as Solid. Bromine is in the Halogen group. Europium is used in phosphors for lighting and displays.,1,1,1
Silver is a highly conductive and reflective metal used in jewelry and electronics. Niobium has the symbol Nb. Arsenic appears in its standard state as Solid.,1,1,1
Astatine has the atomic number of 85. Erbium has the atomic number of 50. Mercury is a liquid at room temperature and used in thermometers and some electrical switches.,1,0,1
Uranium is in the Post-transition metal group. Hydrogen appears in its standard state as Gas. Niobium has the atomic number of 61.,0,1,0
"Copper is in the Nonmetal group. Samarium is used in magnets, lasers, and neutron capture. Nitrogen has the atomic number of 1.",0,1,0
Radium is a radioactive alkaline earth metal used in luminous paints and some cancer treatments. Protactinium has the symbol Pa. Zinc has the atomic number of 30.,1,1,1
Vanadium appears in its standard state as Gas. Iridium appears in its standard state as Solid. Dysprosium appears in its standard state as Solid.,0,1,1
Palladium is in the Lanthanide group. Copper appears in its standard state as Solid. Dysprosium has the symbol Dy.,0,1,1
Dysprosium appears in its standard state as Gas. Polonium appears in its standard state as Solid. Calcium forms more compounds than any other element.,0,1,0
"Cesium has the symbol P. Iodine is essential for thyroid function and is used as a disinfectant. Aluminum is a rare, dense metal used in spark plugs, fountain pen nibs, and crucibles for high-temperature applications..",0,1,0
"Francium is in the Alkali metal group. Gold is a heavy, toxic metal used in batteries, radiation shielding, and some solders. Zinc appears in its standard state as Gas.",1,0,0
"Hydrogen is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry. Arsenic has the atomic number of 76. Chlorine is in the Halogen group.",0,0,1
Samarium appears in its standard state as Solid. Sulfur appears in its standard state as Gas. Actinium is the lightest metal and is used in rechargeable batteries.,1,0,0
Copper has the symbol Cu. Antimony is used as a disinfectant and in the production of PVC. Rhodium has the atomic number of 35.,1,0,0
Cadmium is used to galvanize steel and is an essential trace element in living organisms. Ruthenium has the symbol Ru. Thulium has the symbol Tc.,0,1,0
Strontium has the atomic number of 38. Gallium has the atomic number of 31. Selenium is an essential trace element used in photovoltaic cells and glass production.,1,1,1
Cobalt is in the Actinide group. Lithium is in the Transition metal group. Helium appears in its standard state as Gas.,0,0,1
Praseodymium has the highest melting point of all elements and is used in lightbulb filaments. Ytterbium is in the Lanthanide group. Platinum is in the Transition metal group.,0,1,1
Platinum appears in its standard state as Gas. Samarium forms more compounds than any other element. Rubidium has the symbol Rb.,0,0,1
Lead has the symbol Pb. Tellurium is used in powerful permanent magnets and lasers. Carbon is in the Alkali metal group.,1,0,0
Tungsten is in the Actinide group. Chromium is in the Transition metal group. Silicon has the symbol Xe.,0,1,0
Carbon is a lightweight metal used in alloys and flares. Beryllium has the symbol Ga. Erbium is used in lasers and fiber-optic communication.,0,0,1
Arsenic is in the Metalloid group. Argon is in the Noble gas group. Titanium is in the Transition metal group.,1,1,1
Sodium reacts violently with water and is essential for nerve function. Lead has the atomic number of 82. Beryllium appears in its standard state as Gas.,1,1,0
Magnesium has the atomic number of 62. Tungsten has the highest melting point of all elements and is used in lightbulb filaments. Hafnium has the symbol Hf.,0,1,1
Actinium has the atomic number of 57. Nitrogen appears in its standard state as Solid. Bromine has the symbol K.,0,0,0
Zinc is used to galvanize steel and is an essential trace element in living organisms. Lanthanum has the atomic number of 30. Holmium has the atomic number of 67.,1,0,1
Terbium appears in its standard state as Solid. Krypton is used in superconducting materials and steel alloys. Cobalt appears in its standard state as Solid.,1,0,1
Chlorine is in the Actinide group. Uranium has the atomic number of 38. Iron appears in its standard state as Gas.,0,0,0
"Bismuth has the atomic number of 83. Platinum is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells. Mercury is a noble gas used as an inert atmosphere in welding and other applications.",1,1,0
"Phosphorus is essential for life and is a component of ATP, DNA, and RNA. Titanium appears in its standard state as Gas. Protactinium appears in its standard state as Gas.",1,0,0
Hydrogen is in the Transition metal group. Cerium is in the Lanthanide group. Zinc appears in its standard state as Solid.,0,1,1
Copper has the atomic number of 20. Lutetium has the symbol S. Radium has the symbol Ra.,0,0,1
Cadmium appears in its standard state as Gas. Lead has the symbol Ce. Manganese has the symbol Nd.,0,0,0
Tantalum is in the Actinide group. Mercury has the atomic number of 80. Hydrogen has the atomic number of 1.,0,1,1
Calcium is in the Alkaline earth metal group. Astatine appears in its standard state as Solid. Nickel has the atomic number of 28.,1,1,1
Iron is used in catalytic converters and as a plating for jewelry. Erbium appears in its standard state as Gas. Gadolinium has the symbol Gd.,0,0,1
Hafnium has the atomic number of 72. Molybdenum has the atomic number of 42. Radon has the atomic number of 74.,1,1,0
Technetium appears in its standard state as Solid. Indium appears in its standard state as Solid. Carbon appears in its standard state as Gas.,1,1,0
Vanadium is a toxic element used in pesticides and some alloys. Magnesium has the atomic number of 12. Manganese is in the Transition metal group.,0,1,1
Boron appears in its standard state as Solid. Rubidium appears in its standard state as Gas. Erbium appears in its standard state as Solid.,1,0,1
Iodine appears in its standard state as Gas. Thulium has the atomic number of 69. Silicon is in the Metalloid group.,0,1,1
Cobalt has the symbol Co. Magnesium is a lightweight metal used in alloys and flares. Germanium has the atomic number of 64.,1,1,0
Samarium appears in its standard state as Gas. Samarium is in the Lanthanide group. Rhodium appears in its standard state as Solid.,0,1,1
Silver is used in atomic clocks and as a catalyst. Gallium has the atomic number of 20. Krypton has the atomic number of 36.,0,0,1
Fluorine has the atomic number of 18. Radium appears in its standard state as Gas. Oxygen is necessary for aerobic respiration in living organisms.,0,0,1
Xenon is a noble gas used in lighting and medical imaging. Lutetium is used in PET scans and some cancer treatments. Thallium appears in its standard state as Solid.,1,1,1
Promethium is a radioactive element used in luminous paints. Aluminum has the symbol Al. Sodium has the symbol Na.,1,1,1
Silver is in the Post-transition metal group. Germanium is in the Metalloid group. Iodine is in the Halogen group.,0,1,1
Indium appears in its standard state as Gas. Gold appears in its standard state as Gas. Zirconium has the symbol Zr.,0,0,1
Bismuth is used in PET scans and some cancer treatments. Uranium has the symbol Np. Neptunium appears in its standard state as Gas.,0,0,0
Aluminum is in the Lanthanide group. Rhenium has the atomic number of 83. Holmium appears in its standard state as Solid.,0,0,1
Tungsten has the symbol W. Iridium has the symbol Be. Dysprosium is used to galvanize steel and is an essential trace element in living organisms.,1,0,0
Silicon is a lightweight metal used in alloys and flares. Barium is used in lasers and magnetic refrigeration. Erbium is in the Lanthanide group.,0,0,1
Terbium has the symbol Zn. Technetium has the symbol Tc. Promethium is in the Actinide group.,0,1,0
Europium has the symbol Eu. Technetium is used in phosphors for CRT displays and LEDs. Barium appears in its standard state as Gas.,1,0,0
"Iodine is used in strong, permanent magnets and as a blue pigment. Lithium is in the Alkali metal group. Tantalum has the atomic number of 68.",0,1,0
Antimony is in the Metalloid group. Rhenium is in the Transition metal group. Gold has the atomic number of 79.,1,1,1
Tin has the symbol Sn. Manganese has the atomic number of 20. Molybdenum is used in high-temperature applications and steel alloys.,1,0,1
"Osmium appears in its standard state as Solid. Silver has the symbol Ga. Bromine is used in magnets, lasers, and neutron capture.",1,0,0
Iridium appears in its standard state as Gas. Iodine is in the Transition metal group. Hydrogen has the atomic number of 42.,0,0,0
Lead has the atomic number of 31. Ruthenium is in the Metalloid group. Bromine is used in flame retardants and as a fumigant.,0,0,1
Terbium is in the Alkali metal group. Tellurium has the symbol Cl. Thorium has the atomic number of 4.,0,0,0
Calcium has the atomic number of 23. Tin is used in flame retardants and some semiconductors. Dysprosium is used in magnets and lasers.,0,0,1
Actinium appears in its standard state as Gas. Sulfur has the symbol S. Uranium appears in its standard state as Gas.,0,1,0
Krypton has the symbol Al. Titanium has the symbol Hf. Polonium has the atomic number of 84.,0,0,1
Silicon appears in its standard state as Gas. Terbium has the symbol Tb. Molybdenum appears in its standard state as Gas.,0,1,0
Xenon appears in its standard state as Solid. Uranium is a noble gas used as an inert atmosphere in welding and other applications. Gallium appears in its standard state as Solid.,0,0,1
