statement,label
Berkshire Hathaway  is a name of company. It has headquarter in United States.,1
ArcelorMittal  is a name of company. It has headquarter in China.,0
Ford Motor  is a name of company. It has headquarter in France.,0
Deutsche Post  is a name of company. It has headquarter in United States.,0
Manulife  is a name of company. It has headquarter in Canada.,1
Zurich Insurance  is a name of company. It has headquarter in Switzerland.,1
Mitsubishi  is a name of company. It has headquarter in Japan.,1
Equinor  is a name of company. It has headquarter in Norway.,1
Allianz  is a name of company. It has headquarter in Germany.,1
Verizon Communications  is a name of company. It has headquarter in United States.,1
Johnson & Johnson  is a name of company. It has headquarter in United States.,1
National Australia Bank  is a name of company. It has headquarter in Australia.,1
Commonwealth Bank of Australia  is a name of company. It has headquarter in India.,0
Duke Energy  is a name of company. It has headquarter in United States.,1
Alibaba Group  is a name of company. It has headquarter in China.,1
Abbott Laboratories  is a name of company. It has headquarter in China.,0
SoftBank  is a name of company. It has headquarter in Japan.,1
CNOOC  is a name of company. It has headquarter in Hong Kong.,1
Shell  is a name of company. It has headquarter in Netherlands.,1
SAP  is a name of company. It has headquarter in Spain.,0
Accenture  is a name of company. It has headquarter in United States.,0
Procter & Gamble  is a name of company. It has headquarter in Switzerland.,0
Costco Wholesale  is a name of company. It has headquarter in China.,0
BP  is a name of company. It has headquarter in Norway.,0
Bank of Communications  is a name of company. It has headquarter in Spain.,0
Barclays  is a name of company. It has headquarter in United Kingdom.,1
Itau Unibanco Holding  is a name of company. It has headquarter in United States.,0
CVS Health  is a name of company. It has headquarter in Denmark.,0
Caterpillar  is a name of company. It has headquarter in United States.,1
Nestle  is a name of company. It has headquarter in United States.,0
Charter Communications  is a name of company. It has headquarter in United States.,1
Equinor  is a name of company. It has headquarter in China.,0
Electricite de France  is a name of company. It has headquarter in Switzerland.,0
HSBC Holdings  is a name of company. It has headquarter in United Kingdom.,1
Petrobras  is a name of company. It has headquarter in Brazil.,1
Sanofi  is a name of company. It has headquarter in France.,1
Lockheed Martin  is a name of company. It has headquarter in United States.,1
Canadian Imperial Bank of Commerce  is a name of company. It has headquarter in Canada.,1
Fubon Financial  is a name of company. It has headquarter in Taiwan.,1
Thermo Fisher Scientific  is a name of company. It has headquarter in United States.,1
Reliance Industries  is a name of company. It has headquarter in India.,1
KDDI  is a name of company. It has headquarter in Japan.,1
British American Tobacco  is a name of company. It has headquarter in United States.,1
Telefonica  is a name of company. It has headquarter in China.,0
BNP Paribas  is a name of company. It has headquarter in United States.,0
Enel  is a name of company. It has headquarter in Rome.,1
AXA  is a name of company. It has headquarter in Germany.,0
Itochu  is a name of company. It has headquarter in China.,0
Walt Disney  is a name of company. It has headquarter in United States.,1
