statement,label_1,label_2,label_3
"Human uses for tapir include conservation, research, zoos. The goldfish can recognize human faces and has a memory span of around three months. The tapir has a habitat of forest.",1,1,1
"Human uses for chicken include pets, transport, wool. Human uses for squirrel include pest control. There are no specific human uses for frog.",0,0,1
The goldfish uses walking for locomotion. The narwhal has a diet of herbivore. The manta ray has a diet of carnivore.,0,0,1
"The giraffe has a habitat of domestic/urban. The sea turtle has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn. The kangaroo uses hopping for locomotion.",0,0,1
"The otter has a diet of carnivore. Human uses for chicken include meat, eggs. The polar bear uses walking/swimming for locomotion.",1,1,1
"Human uses for panda include conservation, research, zoos. The frog is a amphibian. The gecko is a reptile.",1,1,1
The eagle uses flying for locomotion. The tapir uses walking for locomotion. The panda is a mammal.,1,1,1
"The bat has a diet of varies. Human uses for armadillo include research, entertainment, therapy. Human uses for dog include pets, service animals, herding, hunting, therapy.",1,0,1
"The gecko uses walking for locomotion. The aardvark is a mammal. Human uses for walrus include research, conservation.",0,1,1
The aardvark has a diet of insectivore. The whale has a diet of carnivore/herbivore. The zebra uses walking for locomotion.,1,1,1
The llama uses walking for locomotion. The octopus uses swimming for locomotion. The tiger has a diet of herbivore.,1,1,0
The parrot is a bird. The armadillo has a habitat of various. The flamingo has a diet of herbivore.,1,1,1
"The iguana has a long trunk used for grasping, eating, drinking, and communication. The rabbit has a habitat of grassland. Human uses for wolverine include conservation, research.",0,1,0
"The gazelle has a diet of omnivore. Human uses for otter include research, conservation. The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",0,1,1
The mongoose uses swimming for locomotion. The wolverine migrates from freshwater to saltwater habitats during its life cycle. The tapir has a diet of herbivore.,0,0,1
"The raccoon uses swimming for locomotion. The moose has a long, sticky tongue for capturing ants and termites, and a keen sense of smell to locate prey. The rhinoceros has a diet of herbivore.",0,0,1
"The rat has a long tail for balance and is an excellent climber and swimmer. The tiger is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur. The hamster uses walking/swimming for locomotion.",1,0,0
"Human uses for flamingo include tourism, research, zoos. The leopard has a distinctive spotted coat and is an excellent climber, often hauling prey into trees. The axolotl uses walking for locomotion.",1,1,0
The elephant is a mammal. There are no specific human uses for tuna. The hippopotamus has a diet of varies.,1,0,0
"The chimpanzee uses walking for locomotion. The polar bear has a habitat of polar. Human uses for alpaca include wool, meat, pets.",1,1,1
The bat uses swimming for locomotion. The gecko has a habitat of savanna. The vulture uses walking for locomotion.,0,0,0
The bat is a mammal. The llama has dexterous front paws and a distinctive black mask on its face. The vulture has the atomic number of mammal.,1,0,0
"The platypus uses walking for locomotion. The bison uses walking/swimming for locomotion. Human uses for manta ray include tourism, research.",0,0,1
The tapir uses swimming/flying for locomotion. There are no specific human uses for rabbit. The porcupine is a mammal.,0,0,1
The raccoon has dexterous front paws and a distinctive black mask on its face. The raccoon is a mammal. The zebra has a habitat of grassland.,1,1,1
The dolphin has a habitat of freshwater. The walrus is a mammal. The sea turtle is a reptile.,0,1,1
The beaver has a diet of insectivore. The axolotl has a habitat of freshwater. The pigeon has a habitat of urban/old-world habitats.,0,1,1
"Human uses for koala include conservation, research, zoos. The gecko has adhesive pads on its toes for climbing and some species can regenerate lost tails. The shark has a long trunk used for grasping, eating, drinking, and communication.",1,1,0
"The seahorse has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch. The dolphin has a diet of herbivore. The koala has the atomic number of bird.",1,0,0
"The moose has the atomic number of reptile. The walrus has long tusks for fighting and digging, and thick blubber for insulation in cold water. The camel has a habitat of forest/grassland.",0,1,0
The slug has a habitat of coastal. The mongoose has the atomic number of reptile. There are no specific human uses for manta ray.,0,0,0
The jellyfish has a diet of varies. The otter has the atomic number of fish. The zebra has a diet of herbivore.,0,0,1
The swan has a diet of herbivore. The skunk has a diet of omnivore. The porcupine has a habitat of various.,1,1,1
The kangaroo is a mammal. The moose is a mammal. The kangaroo has a diet of carnivore.,1,1,0
"The hippopotamus has a habitat of freshwater. The alpaca has thick, luxurious wool and is a smaller relative of the llama. The gecko has a diet of insectivore.",1,1,1
"The wolverine is a mammal. The lion is the only mammal capable of sustained flight and uses echolocation to navigate. Human uses for whale include pets, research.",1,0,0
The armadillo is the largest primate and exhibits complex social behavior. The cassowary has a diet of omnivore. The walrus has a diet of nectar.,0,1,0
"Human uses for platypus include conservation, research. The dolphin uses walking for locomotion. The mongoose has a habitat of terrestrial.",0,0,0
"The gazelle is a mammal. Human uses for elephant include work, tourism, conservation. The gorilla has the atomic number of reptile.",1,1,0
The hippopotamus has the atomic number of bird. The frog has a diet of carnivore. The eagle has a diet of carnivore.,0,1,1
The shark has a habitat of marine. The tuna uses swimming for locomotion. The tarantula uses walking for locomotion.,1,1,1
The seagull has a habitat of coastal. The penguin has a diet of herbivore. The rat has a diet of omnivore.,1,0,1
"The narwhal exhibits neoteny, retaining larval features throughout its life, and has remarkable regenerative abilities. Human uses for penguin include pets, research, conservation. Human uses for deer include fur, research.",0,0,0
"The rat has sharp quills for protection, which can be raised when threatened, and some species can climb trees. The tiger has distinctive orange and black stripes and is an apex predator. The frog uses jumping for locomotion.",0,1,1
"The manta ray lacks a shell and secretes a slimy mucus for protection and locomotion. The giant anteater has a thick, water-resistant fur and uses tools to crack open shellfish. The beaver has a habitat of forest.",0,0,0
"The camel has the atomic number of fish. There are no specific human uses for vulture. The octopus has long tusks for fighting and digging, and thick blubber for insulation in cold water.",0,1,0
"The lion is a mammal. The parrot has a habitat of marine. The skunk has thick, luxurious wool and is a smaller relative of the llama.",1,0,0
"Human uses for rhinoceros include conservation, research, zoos. The hummingbird is a bird. Human uses for parrot include conservation, research.",1,1,0
"The axolotl is a amphibian. The hippopotamus uses walking/swimming for locomotion. The parrot is known for its bright colors, intelligence, and ability to mimic human speech.",1,1,1
"The lobster has a diet of insectivore. The shark is a fish. The whale has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs.",0,1,0
"The zebra has thick wool for insulation and can spit when threatened or annoyed. Human uses for leopard include conservation, research, zoos. The narwhal has a habitat of various.",0,1,0
The bat has a diet of herbivore. The goat has the atomic number of reptile. The hyena shares over 98% of its dna with humans and can use tools and learn sign language.,0,0,0
The moose has a diet of omnivore. The whale uses walking for locomotion. The deer uses swimming for locomotion.,0,0,0
The slug has the atomic number of crustacean. The pigeon is a bird. The hyena uses flying for locomotion.,0,1,0
The narwhal uses swimming for locomotion. The cassowary has a habitat of marine. The hyena has a habitat of grassland/savanna.,1,0,1
"The vulture has a habitat of various. The cow is a ruminant animal with four stomach compartments, which aids in digestion. The alpaca has a diet of herbivore.",1,1,1
"The jellyfish is a cnidarian. The cassowary is highly intelligent and known for its playful and social behavior. The moose is the largest deer species and has broad, flat antlers that are shed and regrown annually.",1,0,1
"The salmon migrates from freshwater to saltwater habitats during its life cycle. Human uses for gorilla include wool, meat, pets. The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1,0,1
The polar bear has thick white fur for insulation and black skin to absorb heat. The rhinoceros uses walking for locomotion. The whale has a habitat of marine.,1,1,1
"The gorilla uses walking for locomotion. The panda has a diet of herbivore. The platypus has humps that store fat, which can be metabolized for energy and water during long treks.",0,1,0
The bee is a insect. The skunk has the atomic number of fish. The panda uses walking for locomotion.,1,0,1
"The zebra has distinctive black and white stripes, which may help deter flies and provide camouflage. The lobster uses flying for locomotion. The rabbit is a mammal.",1,0,1
"Human uses for gorilla include conservation, research, zoos. The iguana has a habitat of various. The tapir has a diet of insectivore.",1,1,0
"Human uses for alpaca include fur, research. The bee can jump long distances and has a bushy tail for balance. The tortoise has a hard shell for protection and can live for over 100 years.",0,0,1
"The alpaca is a mammal. The rhinoceros has the atomic number of bird. The goat is a small, social bird that can be found in many urban environments.",1,0,0
"There are no specific human uses for tapir. The vulture uses flying for locomotion. Human uses for skunk include pets, research.",0,1,0
"Human uses for beaver include research, entertainment, therapy. The gecko uses climbing for locomotion. There are no specific human uses for giant anteater.",0,1,1
"The hippopotamus is a mammal. Human uses for ostrich include tourism, zoos, meat, feathers. The walrus has a habitat of polar.",1,1,1
The gorilla has a habitat of forest. The jellyfish has the atomic number of mammal. The slug has a diet of carnivore.,1,0,0
There are no specific human uses for mongoose. The sea turtle has the atomic number of mammal. The llama has thick wool for insulation and can spit when threatened or annoyed.,1,0,1
"The vulture feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding. The vulture has a habitat of forest/grassland. The gazelle has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1,0,0
"The bee is a social insect that lives in colonies with a queen, workers, and drones. The tuna is a ruminant animal with four stomach compartments, which aids in digestion. There are no specific human uses for eagle.",1,0,0
"The moose has a habitat of various. The deer has antlers that are shed and regrown annually, and is a good swimmer. The salmon has a habitat of freshwater/marine.",0,1,1
"The iguana has a long, whip-like tail for defense and can change color to regulate body temperature. The tapir is a ruminant animal with four stomach compartments, which aids in digestion. The kangaroo has a pouch for carrying and nursing its young, called joeys.",1,0,1
The hummingbird is the smallest bird species and can hover in mid-air by rapidly flapping its wings. The ostrich has a diet of herbivore. The chicken uses walking for locomotion.,1,1,1
The polar bear has a habitat of grassland. The camel has a habitat of desert. The hamster is a mammal.,0,1,1
The chicken has a habitat of various. The frog uses swimming/flying for locomotion. The bee has the atomic number of mammal.,0,0,0
"The iguana has a diet of  carnivore. The elephant has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth. The llama has a habitat of mountain.",0,0,1
The swan has a diet of insectivore. The peacock has a habitat of domestic/urban. The iguana has a habitat of desert.,0,0,0
"The sea turtle uses swimming for locomotion. The llama has a habitat of various. Human uses for cow include research, conservation.",1,0,0
The manta ray has the atomic number of reptile. The hedgehog has the atomic number of amphibian. The cow has a habitat of farmland.,0,0,1
"The lion uses swimming for locomotion. The rhinoceros has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn. The koala is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.",0,1,0
There are no specific human uses for seagull. The slug has a habitat of various. The hyena is a mammal.,1,1,1
The sea turtle has a diet of carnivore. The otter uses flying for locomotion. The hummingbird has the atomic number of mammal.,0,0,0
The cassowary has a habitat of forest. The eagle has a diet of herbivore. The mongoose has a habitat of various.,1,0,1
The otter uses swimming for locomotion. The cat has a habitat of coastal/alkaline lakes. The rat has a diet of carnivore.,1,0,0
"The otter has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths. The armadillo has the atomic number of reptile. The polar bear has three hearts, nine brains, and can change color and texture for camouflage.",0,0,0
The koala has a diet of herbivore. The cow has a diet of herbivore. The parrot has a diet of omnivore.,1,1,1
"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil. The flamingo has the atomic number of mammal. The wolverine has a diet of carnivore.",1,0,1
"Human uses for zebra include tourism, zoos. The raccoon uses walking for locomotion. The ostrich has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1,1,0
The parrot has a habitat of forest. The dolphin uses swimming for locomotion. The alpaca has multiple rows of teeth that are continuously replaced throughout its life.,1,1,0
The zebra has a habitat of savanna. The llama is a mammal. The eagle is a bird.,0,1,1
"The hummingbird uses walking for locomotion. The beaver has a diet of herbivore. Human uses for cassowary include pets, research.",0,1,0
"The aardvark has the atomic number of mollusk. The rat has the atomic number of fish. Human uses for jellyfish include pets, pest control.",0,0,0
"The flamingo is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened. The frog has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment. The bison has a diet of herbivore.",0,1,1
The cheetah has a habitat of polar. The seahorse uses swimming for locomotion. The shark has a habitat of grassland.,0,1,0
The pigeon has a habitat of various. The horse has strong hind legs for powerful jumps and kicks. The tortoise is a reptile.,0,1,1
The panda has a habitat of mountain bamboo forest. The horse has the atomic number of bird. The dog uses sliding for locomotion.,1,0,0
The jellyfish uses walking for locomotion. There are no specific human uses for crocodile. The cassowary is a bird.,0,1,1
"The jellyfish has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent. The peacock has a habitat of forest/grassland. The bee has a diet of herbivore.",1,1,0
"Human uses for rabbit include pets, meat, fur. The axolotl has a habitat of marine. The giant anteater uses swimming for locomotion.",1,0,0
The goldfish has a diet of omnivore. The squirrel is a mammal. The hippopotamus uses swimming for locomotion.,1,1,0
The armadillo uses walking for locomotion. The sparrow uses walking for locomotion. The squirrel uses walking/jumping for locomotion.,1,0,1
"Human uses for dolphin include research, entertainment, therapy. The parrot has the atomic number of mammal. The rhinoceros is a mammal.",1,0,1
The slug is a mollusk. The crocodile uses walking/swimming for locomotion. The rhinoceros has a diet of insectivore.,1,1,0
The beaver uses climbing for locomotion. The tiger uses slithering for locomotion. The leopard has a diet of carnivore.,0,0,1
The kangaroo has the atomic number of mollusk. The dog is a mammal. The beaver uses swimming for locomotion.,0,1,1
"The hippopotamus spends most of its day in water and has a barrel-shaped body with large, sharp teeth for defense. The porcupine has a diet of herbivore. The leopard is a mammal.",1,1,1
