statement,label_1,label_2,label_3
The planet Mars is named after the Roman god of war. The Earth's largest ocean is the Pacific Ocean. Sound travels as a wave through various mediums.,1,1.0,1.0
Auroras occur near Earth's polar regions. Coral reefs are located underwater. The largest continent in the world is Asia.,1,1.0,1.0
Elephants can fly. The conservation of energy principle states that energy can be created and destroyed. The Hubble Space Telescope has provided valuable information about distant celestial objects.,0,0.0,1.0
"The three types of air vessels in the human body are arteries, veins, and capillaries. Chocolate is a popular dessert. A year on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",0,1.0,1.0
The sun rises in the east and sets in the west. Earth has no magnetic field. Penguins can fly.,1,0.0,0.0
Venus has a thick atmosphere. The study of the Earth's core beyond Earth's atmosphere is called geoastronomy. The study of non-living objects and their interactions with the environment is called biology.,1,0.0,0.0
The most abundant gas in Earth's atmosphere is nitrogen. Diamonds are the hardest substance on Earth. The color of an object depends on only on the temperature of its surface.,1,1.0,0.0
"Radioactive decay occurs when unstable atomic nuclei release energy in the form of radiation. The Earth has four seasons: spring, summer, fall, and winter. Friction is the force that resists motion between two surfaces in contact.",1,1.0,1.0
Oxygen is toxic for respiration. Light travels faster than sound. Vaccines help to prevent infectious diseases.,0,1.0,1.0
The first animal to orbit Earth was a dog named Laika. The planet Earth is approximately 4.5 billion years old. Osmosis is the movement of water across a selectively permeable membrane.,1,1.0,1.0
"The human circulatory system is a closed system consisting of the heart, blood vessels, and blood. Trees absorb carbon dioxide and release oxygen. Octopuses have three hearts.",1,1.0,1.0
The planet Jupiter is the largest planet in our solar system. The process of pollination is harmful for plant reproduction. Tornadoes are slowly rotating columns of water that can cause minimal damage.,1,0.0,0.0
"The Milky Way is a spiral galaxy. The planet Mars is known as the ""Red Planet"" due to its reddish appearance. Tornadoes are rapidly rotating columns of air that can cause extensive damage.",1,1.0,1.0
Volcanoes form at areas where Earth's tectonic plates interact. Honey is produced by bees. The Eiffel Tower is located in London.,1,1.0,0.0
Oxygen is necessary for humans to breathe. The largest reptile in the world is the mouse. Broccoli is a popular dessert.,1,0.0,0.0
Elephants are the largest land animals on Earth. The process by which cells divide to form two identical daughter cells is called mitosis. The greenhouse effect reduces Earth's temperature.,1,1.0,0.0
There are no plants in the desert. Inertia is an object's encouragement to change in motion. The immune system attacks the body with pathogens.,0,0.0,0.0
The process of aging is influenced by both genetic and environmental factors. The human brain is uninvolved in the body's functions and emotions. Saturn orbits the Sun.,1,0.0,1.0
Plate tectonics shape the Earth's surface. The human respiratory system consists of lungs and airways. Hadrian's Wall was a defensive fortification.,1,1.0,1.0
A day on Earth is approximately 365.25 days long. The largest ocean in the world is the Pacific Ocean. Polar bears have black fur to stand out in their snowy environment.,0,1.0,0.0
Ecosystems consist of living organisms and their physical environment. The respiratory system allows for the exchange of gases between the body and the environment. Neptune has the calmest winds in the solar system.,1,1.0,0.0
Birds can fly. Rainbows are formed when light is refracted through water droplets in the air. There are light microscopes and electron microscopes.,1,1.0,1.0
The planet Pluto was reclassified as a dwarf planet in 2006. The human urinary system helps remove waste products from the body. The human eye can see infrared light.,1,1.0,0.0
The only continent without any deserts is Australia. The largest flower in the world is the daisy. The smallest mammal in the world is the elephant.,0,0.0,0.0
"The smallest body of water in the world is Lake Superior. Mars has the largest volcano, Olympus Mons. The highest mountain in the world is Mount Fuji.",0,1.0,0.0
A substance that can be broken down into simpler substances by chemical means is called an element. The smallest bird in the world is the ostrich. The Great Barrier Reef is located in the Atlantic Ocean.,0,0.0,0.0
