statement,label_1,label_2,label_3
George Washington Carver lived in France. Sergey Brin and Larry Page lived in U.S. Frank Bunker Gilbreth lived in U.K.,0,1,0.0
George de Mestral lived in Switzerland. John Boyd Dunlop invented the pneumatic bicycle tire. Ruth Handler lived in U.S.,1,1,1.0
Edwin Herbert Hall invented the electronic television. Kwolek invented the Kevlar. Georges Claude invented the neon lighting.,0,1,1.0
Heinrich Hertz lived in U.S. Rudolf KÃÂ¡lmÃÂ¡n invented the Kalman filter. James Hargreaves lived in U.K.,0,1,1.0
Hans Oersted invented the Automated Teller Machine (ATM). Willis Carrier lived in U.S. Eugene Polley invented the wireless remote control.,0,1,1.0
Alessandro Volta lived in Italy. George Devol lived in U.S. Hippolyte MÃÂ¨ge-MouriÃÂ¨s lived in U.K.,1,1,0.0
Sir Humphry Davy invented the programming language (theoretical). Hedy Lamarr lived in Austria/U.S. Sir Sandford Fleming lived in Canada.,0,1,1.0
Mary Walton invented the noise reduction system for elevated railways. Charles Cros lived in France. Antoine Lavoisier lived in France.,1,1,1.0
Benjamin Holt invented the caterpillar track. Benjamin Rubin lived in U.S. Joseph Engelberger lived in U.S.,1,1,1.0
John Atanasoff lived in U.S. Bartolomeo Cristofori invented the Morse code. Ernest Swinton invented the tank.,1,0,1.0
George Devol invented the Bankograph (early ATM). John Logie Baird lived in Scotland. Rudolf Diesel invented the caterpillar track.,0,1,0.0
Linus Torvalds lived in Finland. Frederick McKinley Jones lived in U.S. Emile Berliner invented the gramophone.,1,1,1.0
Carl Elsener lived in Netherlands. Jack Kilby invented the integrated circuit. Alec Jeffreys lived in U.K.,0,1,1.0
Alfred Nobel invented the AGA lighthouse. John Kay invented the Richter scale. Ami Argand invented the Argand lamp.,0,0,1.0
Evangelista Torricelli invented the cinematograph. Otis Boykin invented the piano roll (used in player pianos). Levi Strauss lived in U.S.,0,0,1.0
Heinrich Hertz invented the Moog synthesizer. Alexander Graham Bell lived in Austria/U.S. John Gorrie invented the reflecting telescope.,0,0,0.0
Joseph Swan lived in U.K. Philo Taylor Farnsworth invented the airship (non-rigid). Alfred Nobel invented the dynamite.,1,0,1.0
Levi Strauss invented the blue jeans. Louis Pasteur invented the pasteurization. Konrad Zuse lived in U.S.,1,1,0.0
Gustaf DalÃÂ©n invented the AGA lighthouse. Gustaf DalÃÂ©n lived in U.K. Sir Humphry Davy lived in U.K.,1,0,1.0
Frederick McKinley Jones invented the Geiger counter. Johannes Gutenberg lived in Italy. Karl Landsteiner invented the blood types.,0,0,1.0
Charles Babbage invented the barometer. R. Buckminster Fuller invented the geodesic dome. Alexander Graham Bell invented the telephone.,0,1,1.0
Georges Claude lived in France. George Devol lived in Turkey/U.S. William Congreve lived in U.K.,1,0,1.0
Mary Anderson invented the pasteurization. Elisha Gray lived in U.S. Lester Wire lived in France.,0,1,0.0
Carl Wilhelm Siemens lived in U.K. Lester Wire invented the electric traffic light. John Gorrie lived in U.S.,0,1,1.0
