statement,label
N'Djamena is a name of a city. It is a capital of Chad,1
Hagata is a name of a city. It is a capital of Comoros,0
Douglas is a name of a city. It is a capital of Mozambique,0
Funafuti is a name of a city. It is a capital of Japan,0
Cairo is a name of a city. It is a capital of Egypt,1
Mbabane is a name of a city. It is a capital of Switzerland,0
Managua is a name of a city. It is a capital of Nicaragua,1
San JosÃ is a name of a city. It is a capital of Seychelles,0
Bras­lia is a name of a city. It is a capital of Brazil,1
Naypyidaw is a name of a city. It is a capital of Cook Islands,0
Porto-Novo is a name of a city. It is a capital of Benin,1
Sofia is a name of a city. It is a capital of Bulgaria,1
Ottawa is a name of a city. It is a capital of Zambia,0
Nairobi is a name of a city. It is a capital of Indonesia,0
Tskhinvali is a name of a city. It is a capital of South Ossetia,1
Lima is a name of a city. It is a capital of Saint Kitts and Nevis,0
Tashkent is a name of a city. It is a capital of Uzbekistan,0
Flying Fish Cove is a name of a city. It is a capital of Christmas Island,1
Stepanakert is a name of a city. It is a capital of Senegal,0
Charlotte Amalie is a name of a city. It is a capital of United States Virgin Islands,1
Port Vila is a name of a city. It is a capital of Ghana,0
Gibraltar is a name of a city. It is a capital of Gibraltar,1
Wellington is a name of a city. It is a capital of New Zealand,1
BogotÃ¡ is a name of a city. It is a capital of Colombia,1
Palikir is a name of a city. It is a capital of North Korea,0
Funafuti is a name of a city. It is a capital of Tuvalu,1
Tiraspol is a name of a city. It is a capital of Saint Vincent and the Grenadines,0
Belgrade is a name of a city. It is a capital of South Ossetia,0
San Juan is a name of a city. It is a capital of Puerto Rico,1
Cairo is a name of a city. It is a capital of Akrotiri and Dhekelia,0
Caracas is a name of a city. It is a capital of Falkland Islands,0
Baghdad is a name of a city. It is a capital of Turkmenistan,0
Port Louis is a name of a city. It is a capital of Mauritius,1
Kingstown is a name of a city. It is a capital of Bhutan,0
Kuala Lumpur is a name of a city. It is a capital of Malaysia,1
Brazzaville is a name of a city. It is a capital of Republic of the Congo,1
Maseru is a name of a city. It is a capital of Namibia,0
Sana'a is a name of a city. It is a capital of Yemen,1
Windhoek is a name of a city. It is a capital of Belarus,0
Dublin is a name of a city. It is a capital of Northern Mariana Islands,0
Mbabane is a name of a city. It is a capital of Swaziland,1
Monaco is a name of a city. It is a capital of Monaco,1
Santiago is a name of a city. It is a capital of Gambia,0
Tiraspol is a name of a city. It is a capital of Transnistria,1
Nicosia is a name of a city. It is a capital of Cyprus,1
Kingston is a name of a city. It is a capital of Norfolk Island,1
Managua is a name of a city. It is a capital of Saint Barthlemy,0
Georgetown is a name of a city. It is a capital of Ascension Island,1
Gibraltar is a name of a city. It is a capital of Cameroon,0
St. Pierre is a name of a city. It is a capital of Spain,0
Andorra la Vella is a name of a city. It is a capital of Andorra,1
Nuku'alofa is a name of a city. It is a capital of Tonga,1
New Delhi is a name of a city. It is a capital of Paraguay,0
Nairobi is a name of a city. It is a capital of Kenya,1
Georgetown is a name of a city. It is a capital of Guyana,1
