statement,label_1,label_2,label_3,token_1,token_2,token_3
Neodymium appears in its standard state as Solid. Thulium has the atomic number of 79. Bromine is used in flame retardants and as a fumigant.,1,0,1,9,21,36
Silicon has the atomic number of 74. Bismuth appears in its standard state as Solid. Carbon is in the Nonmetal group.,0,1,1,9,19,27
"Chlorine is used as a disinfectant and in the production of PVC. Radon is a strong, lightweight metal used in aerospace and medical implants. Niobium is in the Transition metal group.",1,0,1,13,28,38
Gallium has the atomic number of 20. Lanthanum is used in camera lenses and some batteries. Iodine is in the Transition metal group.,0,1,0,9,21,30
Rhenium is used in high-temperature alloys and catalytic converters. Europium is in the Lanthanide group. Xenon appears in its standard state as Gas.,1,1,1,12,24,34
Indium has the symbol Ta. Oxygen has the atomic number of 8. Osmium has the atomic number of 57.,0,1,0,5,14,26
Manganese appears in its standard state as Solid. Rhodium has the atomic number of 35. Uranium has the atomic number of 38.,1,0,0,9,20,31
Magnesium is a lightweight metal used in alloys and flares. Rubidium is an essential trace element used in photovoltaic cells and glass production. Iodine appears in its standard state as Solid.,1,0,1,10,25,35
Cobalt is in the Actinide group. Terbium is in the Alkali metal group. Phosphorus is in the Nonmetal group.,0,0,1,8,8,20
Uranium is in the Actinide group. Helium is in the Lanthanide group. Potassium appears in its standard state as Gas.,1,0,0,9,9,29
Technetium has the atomic number of 48. Technetium is the lightest radioactive element and is used in medical imaging. Beryllium has the symbol Ga.,0,1,0,10,26,34
Tin has the symbol Sn. Germanium has the atomic number of 64. Rubidium has the symbol Na.,1,0,0,5,16,23
"Beryllium is a lightweight, strong metal used in aerospace and other applications. Platinum appears in its standard state as Gas. Palladium has the symbol Pd.",1,0,1,14,24,32
Helium has the symbol Th. Tantalum appears in its standard state as Solid. Thorium has the atomic number of 4.,0,1,0,5,16,26
Thallium is in the Noble gas group. Cobalt appears in its standard state as Gas. Titanium appears in its standard state as Solid.,0,0,1,8,18,28
Strontium is in the Alkaline earth metal group. Osmium appears in its standard state as Solid. Terbium is in the Lanthanide group.,1,1,1,11,22,34
Helium appears in its standard state as Solid. Radon appears in its standard state as Gas. Lithium has the symbol Li.,0,1,1,8,18,24
Tin is used in solder and pewter. Titanium has the symbol Ti. Rhenium has the atomic number of 75.,1,1,1,9,16,28
Zinc is in the Transition metal group. Lithium has the atomic number of 3. Tellurium appears in its standard state as Gas.,1,1,0,7,16,27
Nickel is in the Transition metal group. Protactinium is a radioactive actinide mainly used in research and plutonium production. Thorium appears in its standard state as Solid.,1,0,1,7,23,33
"Europium has the symbol P. Iodine is used in strong, permanent magnets and as a blue pigment. Indium is in the Post-transition metal group.",0,0,1,7,22,33
"Yttrium appears in its standard state as Gas. Platinum is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells. Hydrogen is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry.",0,1,0,9,31,56
Hydrogen has the symbol Al. Bromine appears in its standard state as Solid. Tungsten has the symbol W.,0,0,1,5,15,22
Neptunium is in the Actinide group. Astatine has the atomic number of 50. Beryllium has the symbol Be.,1,0,1,10,22,30
Helium has the atomic number of 91. Gallium is in the Actinide group. Neodymium is in the Transition metal group.,0,0,0,9,19,19
Europium has the symbol Eu. Thulium has the symbol Tc. Rubidium has the symbol Rb.,1,0,1,7,16,24
Iridium has the symbol Be. Oxygen is in the Alkaline earth metal group. Chlorine has the symbol W.,0,0,0,5,16,23
Samarium has the atomic number of 7. Fluorine has the atomic number of 9. Promethium appears in its standard state as Solid.,0,1,1,8,19,30
Iron appears in its standard state as Solid. Carbon is a lightweight metal used in alloys and flares. Nitrogen has the atomic number of 7.,1,0,1,7,18,27
Cerium is used in catalytic converters and self-cleaning ovens. Europium is the densest naturally occurring element and is used in some alloys. Rhodium is in the Alkali metal group.,1,0,0,13,30,41
Copper has the symbol N. Barium is used in lasers and magnetic refrigeration. Rhenium appears in its standard state as Solid.,0,0,1,5,15,26
Holmium has the symbol Ho. Cerium has the symbol Ce. Tellurium has the atomic number of 52.,1,1,1,5,12,24
Germanium has the symbol Ge. Praseodymium is in the Lanthanide group. Polonium is a highly radioactive element used in some heaters for space probes.,1,1,1,5,18,33
Gallium has the symbol Ga. Mercury has the atomic number of 80. Iodine is in the Halogen group.,1,1,1,5,15,24
Rhenium has the atomic number of 83. Magnesium has the symbol Mg. Tin is in the Post-transition metal group.,0,1,1,10,16,26
Gallium has a low melting point and is used in semiconductors and LEDs. Cesium is in the Lanthanide group. Magnesium has the atomic number of 12.,1,0,1,13,24,34
Dysprosium has the atomic number of 66. Strontium appears in its standard state as Gas. Samarium has the atomic number of 62.,1,0,1,11,23,34
Silver is in the Transition metal group. Technetium has the symbol Ar. Tungsten has the highest melting point of all elements and is used in lightbulb filaments.,1,0,1,6,14,33
Europium has the atomic number of 63. Krypton has the symbol Al. Lead has the symbol Ce.,1,0,0,11,19,25
