statement,label_1,label_2,label_3,token_1,token_2,token_3
The slug has the atomic number of crustacean. The ostrich has a habitat of savanna. The hippopotamus has a diet of herbivore.,0,0,1,8,18,29
The leopard has a diet of omnivore. The gecko has the atomic number of mammal. There are no specific human uses for aardvark.,0,0,1,7,17,29
The gorilla uses knuckle-walking for locomotion. The polar bear is a mammal. The walrus has a habitat of various.,1,1,0,8,15,24
"The penguin has the atomic number of mammal. The tuna has the atomic number of mammal. Human uses for walrus include research, conservation.",0,0,1,7,7,26
The frog has a habitat of freshwater. The sea turtle uses swimming for locomotion. The dog has a diet of carnivore.,1,1,0,6,14,23
The aardvark has a diet of carnivore. The platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey. The cow uses walking for locomotion.,0,1,1,10,36,43
The elephant has a habitat of terrestrial. The platypus has a diet of varies. The whale has a diet of herbivore.,1,0,0,6,16,25
"The iguana has a habitat of various. The moose has a long, sticky tongue for capturing ants and termites, and a keen sense of smell to locate prey. There are no specific human uses for porcupine.",1,0,1,7,31,42
The tapir has a diet of herbivore. The ostrich has a diet of nectar. The seahorse uses walking for locomotion.,1,0,0,8,18,27
The bee uses flying for locomotion. The rabbit has a habitat of forest/urban. The polar bear has a habitat of grassland.,1,0,0,5,15,24
The gorilla has the atomic number of reptile. The gecko is a reptile. The tiger has a diet of carnivore.,0,1,1,7,7,23
"Human uses for whale include tourism, research, conservation. The cheetah uses walking for locomotion. The porcupine has sharp quills for protection, which can be raised when threatened, and some species can climb trees.",1,0,1,9,17,42
"The tiger has the atomic number of fish. There are no specific human uses for vulture. The platypus has humps that store fat, which can be metabolized for energy and water during long treks.",0,1,0,7,17,42
"The porcupine has a diet of nectar. Human uses for flamingo include tourism, research, zoos. The dog uses sliding for locomotion.",0,1,0,8,20,27
"The llama uses swimming for locomotion. Human uses for alpaca include fur, research. There are no specific human uses for pigeon.",0,0,1,7,18,27
The hyena has the atomic number of reptile. The zebra has a diet of carnivore. The frog has thick wool for insulation and can spit when threatened or annoyed.,0,0,0,8,17,32
The elephant uses walking for locomotion. The wolverine uses swimming for locomotion. The mongoose migrates from freshwater to saltwater habitats during its life cycle.,1,0,0,5,5,30
The gorilla is a mammal. The hedgehog has a habitat of various. The bison has a habitat of terrestrial.,1,1,0,4,13,21
The sparrow uses walking for locomotion. The chimpanzee is a mammal. The bison is the heaviest land animal in north america and forms large herds for protection.,0,1,1,5,11,28
"The octopus has a diet of carnivore. The cassowary has a habitat of marine. The ostrich has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1,0,0,7,17,48
"The tapir has a habitat of forest. The octopus has three hearts, nine brains, and can change color and texture for camouflage. The skunk has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",1,1,1,7,25,48
"The mongoose has a habitat of terrestrial. There are no specific human uses for swan. Human uses for bee include conservation, research, zoos.",0,0,0,8,18,29
The slug uses walking for locomotion. The rat uses walking for locomotion. The squirrel can jump long distances and has a bushy tail for balance.,0,1,1,5,5,27
"Human uses for platypus include research, conservation. The jellyfish has a habitat of marine. The zebra has a diet of herbivore.",1,1,1,9,17,26
"The goldfish is highly intelligent and known for its playful and social behavior. Human uses for llama include pets, transport, wool. The crocodile has the atomic number of mammal.",0,1,0,12,25,34
"The wolverine has a diet of carnivore. The dolphin is the fastest land animal, reaching speeds up to 60-70 mph. The bee has a habitat of various.",1,0,1,9,29,37
"The salmon has a habitat of freshwater/marine. The lion has a diet of carnivore. The aardvark has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",1,1,1,8,17,45
The dolphin uses swimming for locomotion. The rhinoceros uses swimming for locomotion. The tortoise lacks a shell and secretes a slimy mucus for protection and locomotion.,1,0,0,5,5,13
The hyena shares over 98% of its dna with humans and can use tools and learn sign language. The dog has the atomic number of amphibian. The iguana has the atomic number of mammal.,0,0,0,22,31,41
The deer uses swimming for locomotion. The sparrow is a bird. The narwhal uses walking for locomotion.,0,1,0,5,11,20
There are no specific human uses for mongoose. The dog has a habitat of grassland/forest. The squirrel has a habitat of farmland/domestic.,1,0,0,9,19,30
"The cassowary is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw. Human uses for horse include pets, research. Human uses for moose include research, conservation.",1,0,0,30,39,48
"The hedgehog has a coat of sharp spines for protection, which it raises when threatened. The peacock has an iridescent tail with eye-like patterns used in courtship displays. The rat is a mammal.",1,1,1,16,35,41
The sea turtle has a habitat of marine. The salmon has a habitat of mountain. The raccoon has a habitat of forest.,1,0,0,7,15,24
The narwhal has a diet of carnivore. The horse has a diet of herbivore. The koala uses flying for locomotion.,1,1,0,9,9,26
"Human uses for sparrow include research, conservation. There are no specific human uses for giant anteater. The jellyfish has a diet of carnivore.",0,1,1,7,18,27
The hedgehog has a diet of herbivore. The jellyfish has a diet of varies. There are no specific human uses for cheetah.,0,0,0,8,16,26
"The alpaca has thick, luxurious wool and is a smaller relative of the llama. The tarantula uses walking for locomotion. The camel has a habitat of desert.",1,1,1,18,27,35
The platypus has a diet of carnivore. The swan has a diet of herbivore. The hedgehog uses flying for locomotion.,1,1,0,9,9,27
The aardvark has a habitat of savanna. The hamster is nocturnal and has large cheek pouches to store and transport food. The hyena has a diet of carnivore.,1,1,1,9,26,36
The chicken has a diet of omnivore. The alpaca has multiple rows of teeth that are continuously replaced throughout its life. The pigeon has a strong homing instinct and has been used for communication and racing.,1,0,1,7,24,41
The koala is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure. The penguin has a habitat of marine/polar. The polar bear uses walking/jumping for locomotion.,0,1,0,21,31,42
The alpaca has a diet of herbivore. The eagle uses flying for locomotion. The pigeon has a habitat of various.,1,1,0,9,16,24
"The crocodile has a diet of  carnivore. The zebra uses walking for locomotion. The squirrel is known for its bright colors, intelligence, and ability to mimic human speech.",1,1,0,8,15,33
"Human uses for cheetah include conservation, research, zoos. The jellyfish has a habitat of domestic/urban. The rabbit has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",1,0,0,10,20,42
The manta ray is a fish. The rabbit uses hopping for locomotion. The goat is a mammal.,1,1,1,6,13,19
The slug has a strong homing instinct and has been used for communication and racing. The lion uses swimming for locomotion. Human uses for gazelle include food.,0,0,0,15,22,30
The porcupine has a habitat of various. The flamingo has a habitat of coastal/alkaline lakes. The snake uses slithering for locomotion.,1,1,1,8,21,30
The llama is a mammal. The moose is a mammal. The platypus uses walking for locomotion.,1,1,0,6,6,21
The walrus has a diet of nectar. The narwhal has a habitat of various. The bison uses walking for locomotion.,0,0,1,7,17,24
"The tapir uses swimming/flying for locomotion. The lobster has a hard exoskeleton, which it must molt to grow, and can live for over 50 years. Human uses for lobster include food, research.",0,1,1,8,34,43
The walrus uses swimming for locomotion. The bison has a diet of carnivore. The swan has a diet of insectivore.,1,0,0,6,15,15
"The panda primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation. The narwhal is a mammal. The pigeon has a habitat of urban/old-world habitats.",1,1,1,20,28,41
"Human uses for dolphin include conservation, research, zoos. The seahorse has the atomic number of bird. Human uses for hippopotamus include pets, pest control.",0,0,0,9,20,32
The seagull has the atomic number of mammal. The narwhal has the atomic number of fish. The crocodile has a habitat of marine/polar.,0,0,0,8,19,29
"Human uses for giant anteater include research, conservation. The tortoise has a hard shell for protection and can live for over 100 years. The llama has dexterous front paws and a distinctive black mask on its face.",0,1,0,9,28,46
The seagull has a diet of omnivore. The iguana is a reptile. The tiger has a habitat of freshwater.,1,1,0,8,15,23
The penguin is a bird. The manta ray has a diet of carnivore. The parrot has a habitat of forest.,1,1,1,4,15,23
The dolphin has a habitat of marine. The wolverine has a habitat of arctic/subarctic. The hedgehog uses walking for locomotion.,1,1,1,6,19,27
The hummingbird uses flying for locomotion. The tortoise uses walking for locomotion. The dog has a diet of omnivore.,1,1,1,6,6,22
