statement,label
Alva J. Fisher  was an inventor. That person invented a Wheatstone bridge.,0
George Pullman  was an inventor. That person invented a Pullman railroad sleeping car.,1
Antoine Lavoisier  was an inventor. That person invented a modern chemical nomenclature.,1
Gottlieb Daimler  was an inventor. That person invented a industrial robot.,0
Heinrich GÃ¶bel  was an inventor. That person invented a Jacquard loom.,0
Wilhelm Conrad RÃ¶ntgen  was an inventor. That person invented a windshield wiper.,0
James Watt  was an inventor. That person invented a steam engine improvements.,1
Henry Ford  was an inventor. That person invented a assembly line production.,1
Laszlo Joseph Biro  was an inventor. That person invented a tank.,0
Maria Telkes  was an inventor. That person invented a co-discovery of multiple elements.,0
Ruth Handler  was an inventor. That person invented a standard time zones.,0
Ignazio Porro  was an inventor. That person invented a Porro prism.,1
Alessandro Volta  was an inventor. That person invented a electric battery.,1
Orville and Wilbur Wright  was an inventor. That person invented a stored-program computer architecture.,0
Arthur Pitney  was an inventor. That person invented a theremin.,0
Whitcomb Judson  was an inventor. That person invented a slide fastener (zipper precursor).,1
Albert Ghiorso  was an inventor. That person invented a co-discovery of multiple elements.,1
Gottlieb Daimler  was an inventor. That person invented a internal combustion engine.,1
Narinder Singh Kapany  was an inventor. That person invented a fiber optics.,1
Linus Torvalds  was an inventor. That person invented a Linux operating system.,1
Robert Noyce  was an inventor. That person invented a magnetic wire recorder.,0
Gideon Sundback  was an inventor. That person invented a liquefied gas refrigeration.,0
Hans Lippershey  was an inventor. That person invented a radio.,0
Galileo Galilei  was an inventor. That person invented a improved telescope.,1
Chester Carlson  was an inventor. That person invented a Linux operating system.,0
Ferdinand von Zeppelin  was an inventor. That person invented a rigid airship (Zeppelin).,1
Ralph H. Baer  was an inventor. That person invented a first home video game console.,1
Rudolf KÃ¡lmÃ¡n  was an inventor. That person invented a Kalman filter.,1
John Ambrose Fleming  was an inventor. That person invented a geodesic dome.,0
Bartolomeo Cristofori  was an inventor. That person invented a theremin.,0
James Murray Spangler  was an inventor. That person invented a portable vacuum cleaner.,1
Joseph Aspdin  was an inventor. That person invented a Portland cement.,1
Stephanie Kwolek  was an inventor. That person invented a Kevlar.,1
Igor Tamm  was an inventor. That person invented a electron cooling.,1
Joseph Henry  was an inventor. That person invented a frequency hopping spread spectrum.,0
Nicolas Appert  was an inventor. That person invented a canning process.,1
John Boyd Dunlop  was an inventor. That person invented a pneumatic bicycle tire.,1
Luther Simjian  was an inventor. That person invented a Bankograph (early ATM).,1
Ignazio Porro  was an inventor. That person invented a discovery of radium and polonium.,0
Georges Claude  was an inventor. That person invented a neon lighting.,1
Godfrey Hounsfield  was an inventor. That person invented a laser.,0
Robert Chesebrough  was an inventor. That person invented a Vaseline.,1
Charles Strite  was an inventor. That person invented a marine chronometer.,0
Blaise Pascal  was an inventor. That person invented a mechanical calculator.,1
Nils Bohlin  was an inventor. That person invented a three-point seatbelt.,1
Charles Wheatstone  was an inventor. That person invented a Christmas card.,0
Edwin Herbert Hall  was an inventor. That person invented a assembly line production.,0
Garrett Morgan  was an inventor. That person invented a traffic signal.,1
Edmund Cartwright  was an inventor. That person invented a power loom.,1
Hans Geiger  was an inventor. That person invented a Geiger counter.,1
Benjamin Holt  was an inventor. That person invented a caterpillar track.,1
Vint Cerf  was an inventor. That person invented a internet protocol suite.,1
Emile Berliner  was an inventor. That person invented a gramophone.,1
Christian Huygens  was an inventor. That person invented a pendulum clock.,1
Archimedes  was an inventor. That person invented a arc welding.,0
Sir Isaac Newton  was an inventor. That person invented a reflecting telescope.,1
John Boyd Dunlop  was an inventor. That person invented a compression refrigeration.,0
Clyde Tombaugh  was an inventor. That person invented a discovery of Pluto.,1
Grace Hopper  was an inventor. That person invented a hovercraft.,0
Sir Frank Whittle  was an inventor. That person invented a portable vacuum cleaner.,0
Zhores Alferov  was an inventor. That person invented a heterotransistor.,1
Eugene Polley  was an inventor. That person invented a improved electrical resistor.,0
Henri Giffard  was an inventor. That person invented a airship (non-rigid).,1
Valdemar Poulsen  was an inventor. That person invented a magnetic wire recorder.,1
Philo Farnsworth  was an inventor. That person invented a airship (non-rigid).,0
Philo Taylor Farnsworth  was an inventor. That person invented a electron scanning tube (Image dissector).,1
Herbert Saffir  was an inventor. That person invented a Saffir-Simpson Hurricane Scale.,1
Robert Adler  was an inventor. That person invented a ultrasonic remote control.,1
Sir Frank Whittle  was an inventor. That person invented a jet engine.,1
James Hargreaves  was an inventor. That person invented a electric stove.,0
James Clerk Maxwell  was an inventor. That person invented a orangutan conservation.,0
Shinya Yamanaka  was an inventor. That person invented a electromagnetic field theory.,0
Dr. Robert Gallo  was an inventor. That person invented a co-discovery of HIV.,1
Igor Tamm  was an inventor. That person invented a three-point seatbelt.,0
William Kelly  was an inventor. That person invented a dry collodion photographic plate.,0
George Cayley  was an inventor. That person invented a aerodynamics (theoretical).,1
Lester Wire  was an inventor. That person invented a Pullman railroad sleeping car.,0
Bette Nesmith Graham  was an inventor. That person invented a Liquid Paper.,1
Carl Sontheimer  was an inventor. That person invented a mechanical calculator.,0
Levi Strauss  was an inventor. That person invented a electron cooling.,0
Ernest Swinton  was an inventor. That person invented a tank.,1
Jean-Bernard-LÃ©on Foucault  was an inventor. That person invented a Foucault pendulum.,1
Elisha Gray  was an inventor. That person invented a Jacquard loom.,0
George Eastman  was an inventor. That person invented a roll film.,1
David Schwarz  was an inventor. That person invented a Bessemer process for steelmaking.,0
John Gorrie  was an inventor. That person invented a mechanical refrigeration (ice-making machine).,1
Clyde Tombaugh  was an inventor. That person invented a Foucault pendulum.,0
Earle Dickson  was an inventor. That person invented a Band-Aid.,1
John von Neumann  was an inventor. That person invented a stored-program computer architecture.,1
Willem Einthoven  was an inventor. That person invented a electrocardiograph (ECG).,1
Hans von Ohain  was an inventor. That person invented a jet engine.,1
Alexander Graham Bell  was an inventor. That person invented a telephone.,1
Nils Bohlin  was an inventor. That person invented a aerodynamics (theoretical).,0
Frederick Walton  was an inventor. That person invented a shielded metal arc welding.,0
John Walker  was an inventor. That person invented a friction match.,1
Elisha Otis  was an inventor. That person invented a computed tomography (CT) scanner.,0
Robert Chesebrough  was an inventor. That person invented a barometer.,0
Joseph Bramah  was an inventor. That person invented a co-discovery of multiple elements.,0
Sir Humphry Davy  was an inventor. That person invented a safety lamp.,1
Konrad Zuse  was an inventor. That person invented a programmable computer (Z3).,1
Wallace Carothers  was an inventor. That person invented a nylon.,1
Daniel Fahrenheit  was an inventor. That person invented a Christmas card.,0
Leon Theremin  was an inventor. That person invented a electret microphone.,0
Benjamin Franklin  was an inventor. That person invented a Pullman railroad sleeping car.,0
Herbert Saffir  was an inventor. That person invented a fiber optics.,0
Eugene Polley  was an inventor. That person invented a wireless remote control.,1
ÃScott de Martinville  was an inventor. That person invented a Phonautograph.,1
Linus Torvalds  was an inventor. That person invented a automatic dishwasher.,0
Valdemar Poulsen  was an inventor. That person invented a Congreve rocket.,0
John Ericsson  was an inventor. That person invented a X-rays discovery.,0
Guglielmo Marconi  was an inventor. That person invented a radio.,1
Joseph Engelberger  was an inventor. That person invented a industrial robot.,1
Richard Leach Maddox  was an inventor. That person invented a dry collodion photographic plate.,1
Joseph Marie Jacquard  was an inventor. That person invented a Jacquard loom.,1
Igor Sikorsky  was an inventor. That person invented a electric stove.,0
Heinrich Hertz  was an inventor. That person invented a COBOL programming language.,0
Bartolomeo Cristofori  was an inventor. That person invented a piano.,1
Jacob Perkins  was an inventor. That person invented a compression refrigeration.,1
Thomas Savery  was an inventor. That person invented a pendulum clock.,0
Marvin Camras  was an inventor. That person invented a Turing machine (theoretical).,0
