statement,label
Gecko is an animal. It is a Reptile.,1
Hyena is an animal. It is a Reptile.,0
Aardvark is an animal. It is a Mollusk.,0
Tiger is an animal. It is a Bird.,0
Octopus is an animal. It is a Reptile.,0
Cassowary is an animal. It is a Bird.,1
Hedgehog is an animal. It is a Bird.,0
Zebra is an animal. It is a Mammal.,1
Seahorse is an animal. It is a Fish.,1
Tarantula is an animal. It is a Arachnid.,1
Frog is an animal. It is a Amphibian.,1
Walrus is an animal. It is a Fish.,0
Zebra is an animal. It is a Bird.,0
Leopard is an animal. It is a Mammal.,1
Otter is an animal. It is a Mammal.,1
Peacock is an animal. It is a Mammal.,0
Bison is an animal. It is a Insect.,0
Raccoon is an animal. It is a Mammal.,1
Rabbit is an animal. It is a Mammal.,1
Sea Turtle is an animal. It is a Fish.,0
Dolphin is an animal. It is a Reptile.,0
Shark is an animal. It is a Mammal.,0
Bee is an animal. It is a Mammal.,0
Bison is an animal. It is a Mammal.,1
Moose is an animal. It is a Mammal.,1
Rabbit is an animal. It is a Insect.,0
Slug is an animal. It is a Mollusk.,1
Wolverine is an animal. It is a Mammal.,1
Rat is an animal. It is a Mammal.,1
Jellyfish is an animal. It is a Cnidarian.,1
Wolverine is an animal. It is a Bird.,0
Skunk is an animal. It is a Bird.,0
Horse is an animal. It is a Bird.,0
Goat is an animal. It is a Fish.,0
Flamingo is an animal. It is a Mammal.,0
Manta Ray is an animal. It is a Fish.,1
Cat is an animal. It is a Mammal.,1
Vulture is an animal. It is a Bird.,1
Raccoon is an animal. It is a Bird.,0
Gazelle is an animal. It is a Fish.,0
Bat is an animal. It is a Amphibian.,0
Armadillo is an animal. It is a Mammal.,1
Salmon is an animal. It is a Mammal.,0
Goldfish is an animal. It is a Fish.,1
Whale is an animal. It is a Amphibian.,0
Sea Turtle is an animal. It is a Reptile.,1
Shark is an animal. It is a Fish.,1
Parrot is an animal. It is a Mammal.,0
Chimpanzee is an animal. It is a Bird.,0
Crocodile is an animal. It is a Reptile.,1
Seahorse is an animal. It is a Mammal.,0
Giraffe is an animal. It is a Fish.,0
Llama is an animal. It is a Bird.,0
Lion is an animal. It is a Mammal.,1
Tiger is an animal. It is a Mammal.,1
Hummingbird is an animal. It is a Bird.,1
Ostrich is an animal. It is a Bird.,1
Camel is an animal. It is a Insect.,0
Alpaca is an animal. It is a Bird.,0
Koala is an animal. It is a Crustacean.,0
Skunk is an animal. It is a Mammal.,1
Cow is an animal. It is a Mollusk.,0
Platypus is an animal. It is a Mammal.,1
Tapir is an animal. It is a Mammal.,1
