statement,label_1,label_2,label_3,token_1,token_2,token_3
Hungary is a name of a city. Tbilisi is a name of a country. Kathmandu is a city in Tristan da Cunha.,0,0,0,6,17,31
Budapest is a name of a city. Madagascar is a name of a country. Stockholm is a name of a city.,1,1,1,7,15,23
George Town is a city in Cayman Islands. Ulan Bator is a name of a country. Kuala Lumpur is a name of a city.,1,0,1,7,19,32
Morocco is a name of a country. ReykjavÃ­k is a name of a city. MalÃ© is a city in Djibouti.,1,1,0,8,22,33
Netherlands is a name of a country. Nouakchott is a city in Cameroon. Copenhagen is a city in Denmark.,1,0,1,8,17,17
Singapore is a city in Slovakia. Ankara is a city in Turkey. Palikir is a city in Federated States of Micronesia.,0,1,1,5,5,28
Ireland is a name of a city. Tallinn is a city in Estonia. Libreville is a city in Gabon.,0,1,1,8,15,25
Adamstown is a city in Northern Mariana Islands. Rome is a city in Malaysia. Santo Domingo is a city in Dominican Republic.,0,0,1,8,15,26
Adamstown is a name of a city. Brussels is a name of a city. Sucre is a name of a country.,1,1,0,7,7,24
Skopje is a city in Macedonia. Lilongwe is a name of a city. Cuba is a name of a country.,1,1,1,6,17,25
Rome is a city in Netherlands. Algiers is a name of a city. Sri Jayawardenepura Kotte is a city in United Arab Emirates.,0,1,0,4,14,30
Falkland Islands is a name of a country. Melekeok is a city in Palau. Isle of Man is a name of a city.,1,1,0,9,19,17
Cape Verde is a name of a city. Cyprus is a name of a city. Tehran is a name of a city.,0,0,1,8,8,16
Sana'a is a city in Somaliland. SÃ£o TomÃ© is a city in Puerto Rico. Georgetown is a name of a city.,0,0,1,9,23,21
Nassau is a city in Bahamas. MalÃ© is a name of a city. San Marino is a name of a country.,1,1,1,6,17,27
Kampala is a city in Gabon. Botswana is a name of a country. Gibraltar is a name of a city.,0,1,0,7,16,24
Dhaka is a name of a country. Canada is a name of a country. Maseru is a name of a country.,0,1,0,8,8,16
Episkopi Cantonment is a name of a country. St. Peter Port is a city in Guernsey. Kingston is a city in Jamaica.,0,1,1,12,23,21
ReykjavÃ­k is a city in Iceland. Georgetown is a city in Ascension Island. Kinshasa is a name of a city.,1,1,1,11,20,31
Banjul is a name of a city. Dili is a name of a city. Montevideo is a name of a country.,1,1,0,8,8,26
Managua is a name of a city. Riga is a city in Latvia. Helsinki is a name of a city.,1,1,1,8,15,14
Bamako is a name of a city. New Delhi is a city in India. Netherlands is a name of a city.,1,1,0,8,15,14
Cambodia is a name of a country. Bishkek is a name of a city. Papeete is a city in Botswana.,1,1,0,8,19,27
Andorra is a name of a country. Portugal is a name of a country. Central African Republic is a name of a country.,1,1,1,8,8,16
Honiara is a city in Solomon Islands. SÃ£o TomÃ© and PrÃ­ncipe is a name of a country. Djibouti is a name of a city.,1,1,1,7,29,40
Dominican Republic is a name of a city. Bandar Seri Begawan is a name of a city. Kabul is a name of a country.,0,1,0,9,9,30
Quito is a name of a country. Liberia is a name of a city. Argentina is a name of a country.,0,0,1,8,16,24
France is a name of a city. Singapore is a city in Singapore. Kigali is a city in Rwanda.,0,1,1,6,12,12
Ghana is a name of a country. Porto-Novo is a name of a country. Bratislava is a name of a country.,1,0,0,7,7,19
Brunei is a name of a country. Nicosia is a name of a country. Guernsey is a name of a city.,1,0,0,7,7,27
Addis Ababa is a name of a country. Ouagadougou is a city in Haiti. Podgorica is a name of a country.,0,0,0,9,20,32
Algeria is a name of a city. St. Pierre is a name of a country. Brussels is a city in Belgium.,0,0,1,8,18,24
Dakar is a city in Senegal. Yaren is a name of a country. Nicosia is a city in Lithuania.,1,0,0,6,16,24
Addis Ababa is a name of a city. Maseru is a city in Guyana. Vientiane is a name of a city.,1,0,1,9,18,16
Cook Islands is a name of a city. Malaysia is a name of a city. Guatemala City is a city in Guatemala.,0,0,1,7,7,22
Ankara is a city in Iran. Saudi Arabia is a name of a country. Vaduz is a city in Liechtenstein.,0,1,1,6,16,27
Saint Kitts and Nevis is a name of a city. Kingston is a name of a country. Tokyo is a city in Japan.,0,0,1,11,19,25
Pitcairn Islands is a name of a city. Rabat is a name of a city. Cameroon is a name of a city.,0,1,0,11,11,20
Uruguay is a name of a country. Equatorial Guinea is a name of a city. Transnistria is a name of a city.,1,0,0,8,18,18
Wallis and Futuna is a name of a city. Nassau is a city in British Virgin Islands. Singapore is a city in Equatorial Guinea.,0,0,0,10,20,29
Burundi is a name of a city. Roseau is a name of a country. Mata-Utu is a name of a city.,0,0,1,7,16,28
Bermuda is a name of a city. Kathmandu is a city in Jersey. Chisinau is a name of a country.,0,0,0,8,16,27
Grenada is a name of a city. Kingstown is a city in Saint Vincent and the Grenadines. Bahrain is a name of a city.,0,1,0,8,21,31
Nicosia is a city in Northern Cyprus. Bissau is a city in Angola. Bucharest is a city in Romania.,1,0,1,7,16,16
Peru is a name of a country. Yerevan is a city in Seychelles. Tokyo is a name of a country.,1,0,0,7,17,26
Kigali is a name of a country. Juba is a city in South Sudan. Dushanbe is a name of a city.,0,1,1,8,16,14
